x,y,t
0.0,0.0,0.0
0.01002004008016032,0.009300769445482065,0.06835669599352209
0.02004008016032064,0.01860076487817895,0.13671075919685372
0.03006012024048096,0.027899212285305477,0.20505955717295518
0.04008016032064128,0.037195337654076455,0.2734004581912924
0.0501002004008016,0.04648836697170671,0.34173083158160006
0.06012024048096192,0.05577752622541108,0.41004804808825757
0.07014028056112225,0.06506204140240436,0.4783494802254825
0.08016032064128256,0.07434113848990136,0.5466325026335479
0.09018036072144288,0.08361404347511694,0.6148944924362293
0.1002004008016032,0.09287998234526589,0.6831328295996882
0.11022044088176353,0.10213818108756303,0.7513448972930026
0.12024048096192384,0.1113878656892232,0.8195280822505506
0.13026052104208416,0.12062826213746118,0.8876797751364629
0.1402805611222445,0.12985859641949185,0.9557973709113524
0.1503006012024048,0.13907809452252995,1.0238782692015376
0.16032064128256512,0.14828598243379038,1.0919198746709773
0.17034068136272545,0.15748148614048793,1.1599195973961303
0.18036072144288576,0.1666638316298374,1.2278748532439665
0.1903807615230461,0.17583224488905358,1.2957830642533485
0.2004008016032064,0.1849859519053514,1.36364165902001
0.21042084168336672,0.19412417866594558,1.4314480730853585
0.22044088176352705,0.20324615115805097,1.4991997493293354
0.23046092184368736,0.2123510953688824,1.5668941383675659
0.24048096192384769,0.22143823728565468,1.634528698953035
0.250501002004008,0.2305068028955826,1.7021008983825314
0.2605210420841683,0.23955601818588107,1.7696082129081054
0.27054108216432865,0.2485851091437648,1.8370481281537812
0.280561122244489,0.2575933017564487,1.9044181395377848
0.2905811623246493,0.26657982201114755,1.971715752700536
0.3006012024048096,0.2755438958950761,2.038938483938665
0.3106212424849699,0.2844847493954493,2.106083860645322
0.32064128256513025,0.2934016084994819,2.173149421757041
0.3306613226452906,0.3022936991943887,2.2401327182074375
0.3406813627254509,0.31116024746738463,2.307031313388014
0.3507014028056112,0.3200004793056843,2.373842783616356
0.3607214428857715,0.3288136206965028,2.440564718612011
0.37074148296593185,0.33759889762705464,2.5071947219803334
0.3807615230460922,0.34635553608455494,2.573730411704607
0.3907815631262525,0.35508276205621836,2.6401694206467368
0.4008016032064128,0.3637798015292597,2.706509397056828
0.4108216432865731,0.37244588049089383,2.772748005091964
0.42084168336673344,0.3810802249283356,2.838882925344506
0.4308617234468938,0.38968206082879975,2.9049118553802358
0.4408817635270541,0.3982506141795012,2.970832510286691
0.45090180360721444,0.4067851109676547,3.036642623232009
0.4609218436873747,0.4152847771804751,3.102339946034651
0.47094188376753504,0.4237488388051771,3.1679222497443353
0.48096192384769537,0.43217652182897576,3.233387325234562
0.4909819639278557,0.44056705223908565,3.298732983807071
0.501002004008016,0.4489196560227217,3.3639570578086295
0.5110220440881763,0.4572335591670988,3.429057401260508
0.5210420841683366,0.4655079876594317,3.494031890501046
0.531062124248497,0.4737421674869352,3.5588784248416885
0.5410821643286573,0.4819353246368241,3.6235949272369035
0.5511022044088176,0.4900866850963133,3.6881793449683777
0.561122244488978,0.4981954748526176,3.7526296503439083
0.5711422845691383,0.5062609198929519,3.8169438414114074
0.5811623246492986,0.5142822462045307,3.8811199426884495
0.5911823647294588,0.5222586797745691,3.9451560059077897
0.6012024048096192,0.5301894465902819,4.0090501107792935
0.6112224448897795,0.5380737726388839,4.072800365768722
0.6212424849699398,0.5459108839075898,4.1364049088938195
0.6312625250501002,0.5537000063836145,4.199861908538172
0.6412825651302605,0.5614403660541729,4.2631695642832765
0.6513026052104208,0.5691311889064798,4.326326107759306
0.6613226452905812,0.57677170092775,4.3893298035150305
0.6713426853707415,0.5843611281051982,4.452178949907366
0.6813627254509018,0.5918986964260394,4.51487188001104
0.6913827655310621,0.5993836318774883,4.57740696254884
0.7014028056112224,0.6068151604467596,4.6397826028429305
0.7114228456913827,0.6141925081210685,4.701997243787737
0.721442885771543,0.6215149008876295,4.7640493668448505
0.7314629258517034,0.6287815647336575,4.825937493060464
0.7414829659318637,0.6359917256463673,4.887660184105814
0.751503006012024,0.6431446096129738,4.949216043341096
0.7615230460921844,0.6502394426206918,5.010603716903348
0.7715430861723447,0.6572754506567361,5.071821894818756
0.781563126252505,0.6642518597083215,5.132869312139856
0.7915831663326653,0.6711678957626628,5.193744750108089
0.8016032064128256,0.6780227848069748,5.254447037342148
0.8116232464929859,0.6848157528284724,5.314975051052559
0.8216432865731462,0.6915460258143704,5.375327718282916
0.8316633266533066,0.6982128297518837,5.435504017178175
0.8416833667334669,0.704815390628227,5.495502978280397
0.8517034068136272,0.7113529344306151,5.555323685852308
0.8617234468937875,0.7178246871462627,5.6149652792290174
0.8717434869739479,0.724229874762385,5.674426954198225
0.8817635270541082,0.7305677232661966,5.733707964409186
0.8917835671342685,0.7368374586449122,5.792807622810724
0.9018036072144289,0.7430383068857469,5.851725303118481
0.9118236472945891,0.7491694939759153,5.910460441311615
0.9218436873747494,0.7552302459026322,5.969012537159079
0.9318637274549098,0.7612197886531126,6.0273811557755606
0.9418837675350701,0.7671373482145712,6.085565929207153
0.9519038076152304,0.7729821505742229,6.14356655804672
0.9619238476953907,0.7787534217192824,6.201382813078894
0.9719438877755511,0.7844503876369645,6.259014536954562
0.9819639278557114,0.7900722743144842,6.316461645894632
0.9919839679358717,0.7956183077390563,6.373724131422788
1.002004008016032,0.801087714456263,6.430802063464481
1.0120240480961924,0.806479839385582,6.487695871225388
1.0220440881763526,0.8117942915542866,6.544406673781309
1.032064128256513,0.8170307157251661,6.600935724123897
1.0420841683366733,0.8221887566610087,6.657284324262641
1.0521042084168337,0.8272680591246037,6.713453825934969
